Test_Date,County_Code,Zip_Code,Positive_Cases,Total_Tests
4/1/20,27,12571,1,5
4/1/20,47,11232,15,23
4/1/20,71,12253,1,1
4/1/20,805,7052,0,1
4/1/20,27,12601,17,48
4/1/20,5,10466,52,87
4/1/20,27,12522,0,3
4/1/20,39,12414,1,5
4/1/20,805,7401,0,3
4/1/20,39,12423,0,1
4/1/20,61,11016,1,1
4/1/20,805,32701,0,1
4/1/20,119,10553,15,22
4/1/20,59,11577,7,18
4/1/20,59,11557,8,13
4/1/20,59,11563,11,22
4/1/20,119,10567,13,23
4/1/20,7,13760,0,3
4/1/20,61,10026,8,12
4/1/20,9,14141,0,1
4/1/20,805,60613,0,1
4/1/20,805,75071,0,1
4/1/20,805,7650,0,1
4/1/20,103,11948,1,3
4/1/20,9,14727,0,2
4/1/20,71,12552,1,1
4/1/20,805,7024,1,4
4/1/20,115,12839,0,4
4/1/20,103,11968,4,8
4/1/20,7,13905,0,6
4/1/20,61,10069,1,3
4/1/20,111,12481,0,2
4/1/20,79,10516,0,3
4/1/20,61,11476,0,1
4/1/20,53,13122,0,1
4/1/20,805,7601,0,1
4/1/20,805,6850,0,1
4/1/20,805,33603,1,1
4/1/20,119,,65,105
4/1/20,5,10459,38,62
4/1/20,805,22066,0,2
4/1/20,89,13669,3,7
4/1/20,61,10028,14,37
4/1/20,67,13188,0,1
4/1/20,1,12208,0,8
4/1/20,47,11203,42,70
4/1/20,75,13126,2,32
4/1/20,103,11747,10,15
4/1/20,103,11738,7,13
4/1/20,7,,3,15
4/1/20,103,11705,1,6
4/1/20,103,11782,13,22
4/1/20,805,7305,2,4
4/1/20,805,7645,1,2
4/1/20,67,13205,1,8
4/1/20,47,11252,0,1
4/1/20,61,10038,5,14
4/1/20,119,10594,1,3
4/1/20,97,14869,0,1
4/1/20,57,12010,1,10
4/1/20,7,13790,1,7
4/1/20,95,12149,0,1
4/1/20,55,14514,0,7
4/1/20,71,10963,0,4
4/1/20,805,7421,0,1
4/1/20,111,12568,1,2
4/1/20,805,21901,0,2
4/1/20,119,10518,1,1
4/1/20,805,8750,0,1
4/1/20,103,11933,0,3
4/1/20,29,14001,1,3
4/1/20,805,6851,0,2
4/1/20,61,10162,0,4
4/1/20,805,60060,0,1
4/1/20,805,86338,0,1
4/1/20,805,18106,0,1
4/1/20,85,10313,0,1
4/1/20,805,8550,0,2
4/1/20,805,7001,0,2
4/1/20,1,12183,0,1
4/1/20,59,11735,20,35
4/1/20,61,10033,22,31
4/1/20,47,11219,84,118
4/1/20,805,7834,0,2
4/1/20,37,14020,1,20
4/1/20,5,10472,42,62
4/1/20,81,11370,53,71
4/1/20,59,11040,41,75
4/1/20,103,11937,4,23
4/1/20,67,13088,1,9
4/1/20,71,12780,1,2
4/1/20,69,14424,2,7
4/1/20,81,11378,8,24
4/1/20,47,11225,18,29
4/1/20,61,10039,5,9
4/1/20,29,14031,1,8
4/1/20,119,10502,5,11
4/1/20,87,10983,3,11
4/1/20,31,12803,0,1
4/1/20,103,11786,4,6
4/1/20,17,13460,0,2
4/1/20,59,11011,1,2
4/1/20,111,12449,2,3
4/1/20,111,12409,0,3
4/1/20,39,12058,1,1
4/1/20,37,14525,0,1
4/1/20,29,14033,0,1
4/1/20,111,12466,0,2
4/1/20,805,7463,0,2
4/1/20,33,12953,0,2
4/1/20,37,14040,0,1
4/1/20,83,12198,1,3
4/1/20,115,12828,1,1
4/1/20,29,14102,1,2
4/1/20,805,8648,0,1
4/1/20,805,80840,2,2
4/1/20,1,12303,0,1
4/1/20,69,14456,0,4
4/1/20,805,20659,0,1
4/1/20,101,14823,0,2
4/1/20,29,14080,1,1
4/1/20,13,14081,0,1
4/1/20,83,12094,0,1
4/1/20,805,7660,1,1
4/1/20,121,14024,1,1
4/1/20,87,1956,1,1
4/1/20,43,13357,0,1
4/1/20,29,14055,0,1
4/1/20,55,14620,4,20
4/1/20,81,11411,20,23
4/1/20,29,14221,10,40
4/1/20,103,11949,4,12
4/1/20,59,11783,7,19
4/1/20,55,14613,1,9
4/1/20,23,13045,0,23
4/1/20,47,11211,39,55
4/1/20,81,11374,29,57
4/1/20,85,10314,44,80
4/1/20,89,13646,1,1
4/1/20,61,10029,29,52
4/1/20,103,11702,9,15
4/1/20,29,14225,10,23
4/1/20,29,14075,4,15
4/1/20,87,10965,21,43
4/1/20,103,11703,12,21
4/1/20,119,10598,13,32
4/1/20,103,11725,17,33
4/1/20,81,11106,8,21
4/1/20,83,12154,0,3
4/1/20,7,13850,0,5
4/1/20,805,7047,0,1
4/1/20,29,14043,2,16
4/1/20,109,14867,0,5
4/1/20,71,10932,1,2
4/1/20,53,13408,0,3
4/1/20,81,11414,16,20
4/1/20,13,14136,0,2
4/1/20,805,8021,0,1
4/1/20,29,14072,5,12
4/1/20,111,12432,0,1
4/1/20,63,14028,1,1
4/1/20,59,11509,2,6
4/1/20,805,7675,0,2
4/1/20,805,7083,2,3
4/1/20,25,12474,0,1
4/1/20,67,13108,2,5
4/1/20,805,60619,0,1
4/1/20,805,7079,0,1
4/1/20,1,12210,0,2
4/1/20,61,10280,1,2
4/1/20,105,10940,0,2
4/1/20,805,7728,0,1
4/1/20,113,12836,0,1
4/1/20,805,7022,0,1
4/1/20,111,12475,0,1
4/1/20,805,8859,0,1
4/1/20,805,6794,0,1
4/1/20,3,14721,0,1
4/1/20,805,7067,2,2
4/1/20,25,13757,0,1
4/1/20,45,13616,0,1
4/1/20,65,13501,0,1
4/1/20,805,8807,1,1
4/1/20,805,7076,1,2
4/1/20,39,12463,0,1
4/1/20,69,,0,2
4/1/20,19,12929,0,1
4/1/20,53,13030,0,1
4/1/20,29,14206,0,9
4/1/20,59,11520,29,49
4/1/20,103,11717,122,176
4/1/20,51,14485,0,1
4/1/20,119,10532,2,11
4/1/20,55,14626,2,17
4/1/20,119,10550,34,55
4/1/20,29,14204,4,9
4/1/20,67,13204,0,9
4/1/20,5,10460,37,58
4/1/20,83,12180,3,10
4/1/20,81,11385,59,97
4/1/20,29,14051,3,12
4/1/20,71,10925,3,6
4/1/20,81,11358,13,20
4/1/20,105,12759,0,3
4/1/20,59,11598,1,19
4/1/20,91,12020,3,12
4/1/20,61,99999,1,3
4/1/20,15,14904,0,2
4/1/20,71,10969,0,1
4/1/20,71,10916,3,7
4/1/20,805,8873,2,5
4/1/20,71,10918,10,23
4/1/20,27,12585,0,2
4/1/20,95,12167,0,2
4/1/20,805,7080,1,2
4/1/20,113,12801,0,2
4/1/20,27,12501,2,2
4/1/20,105,12791,0,1
4/1/20,3,14715,0,2
4/1/20,115,12057,1,1
4/1/20,101,14820,0,1
4/1/20,805,60655,1,2
4/1/20,71,10933,0,1
4/1/20,103,11931,1,1
4/1/20,45,13619,0,2
4/1/20,83,12052,1,1
4/1/20,67,13029,0,1
4/1/20,21,12530,0,1
4/1/20,123,14478,0,1
4/1/20,69,14532,0,1
4/1/20,47,11208,51,77
4/1/20,5,10468,66,100
4/1/20,47,11235,38,91
4/1/20,81,11367,22,33
4/1/20,81,11372,49,69
4/1/20,5,10361,0,1
4/1/20,87,10920,13,33
4/1/20,81,,45,76
4/1/20,29,14150,6,20
4/1/20,55,14526,0,5
4/1/20,55,14586,18,34
4/1/20,59,11565,3,7
4/1/20,805,,5,17
4/1/20,805,19335,0,1
4/1/20,805,7010,1,3
4/1/20,71,10992,4,15
4/1/20,61,10024,14,28
4/1/20,805,8724,1,6
4/1/20,119,10570,6,18
4/1/20,29,14032,0,4
4/1/20,119,10703,19,36
4/1/20,87,10913,4,8
4/1/20,59,11575,24,29
4/1/20,71,10979,0,1
4/1/20,103,11707,1,2
4/1/20,103,11955,2,7
4/1/20,21,12130,0,1
4/1/20,103,11942,2,6
4/1/20,67,13110,0,1
4/1/20,59,11579,1,2
4/1/20,41,12164,0,1
4/1/20,27,12602,3,4
4/1/20,105,12763,0,1
4/1/20,805,6473,1,1
4/1/20,59,11771,4,7
4/1/20,805,7605,2,2
4/1/20,805,7075,0,1
4/1/20,21,12567,0,1
4/1/20,805,14588,1,1
4/1/20,1,12202,0,1
4/1/20,95,12093,0,1
4/1/20,71,10914,1,1
4/1/20,805,10606,1,1
4/1/20,49,13309,0,1
4/1/20,65,13502,0,1
4/1/20,21,12125,1,1
4/1/20,81,11422,24,35
4/1/20,5,10467,87,149
4/1/20,5,10454,15,26
4/1/20,103,11777,5,7
4/1/20,87,10960,16,34
4/1/20,81,11357,19,31
4/1/20,47,11218,50,112
4/1/20,111,12589,3,9
4/1/20,5,10451,32,49
4/1/20,805,8861,2,4
4/1/20,59,11550,84,111
4/1/20,61,10023,9,23
4/1/20,59,11753,4,16
4/1/20,103,11743,27,52
4/1/20,119,10805,18,42
4/1/20,89,13617,0,4
4/1/20,71,10973,1,8
4/1/20,119,10603,26,40
4/1/20,71,12771,2,18
4/1/20,67,13212,1,10
4/1/20,5,10464,6,8
4/1/20,105,12776,0,1
4/1/20,53,13035,1,6
4/1/20,805,60469,1,1
4/1/20,29,14216,4,16
4/1/20,119,10589,1,7
4/1/20,87,10974,2,4
4/1/20,61,10016,21,47
4/1/20,59,11023,9,12
4/1/20,103,11778,4,13
4/1/20,11,13140,0,1
4/1/20,59,11514,2,3
4/1/20,55,14546,0,2
4/1/20,53,13485,0,1
4/1/20,805,7724,1,3
4/1/20,45,13602,0,4
4/1/20,67,13031,1,8
4/1/20,37,14482,0,4
4/1/20,123,14512,1,2
4/1/20,9,14065,0,1
4/1/20,103,11935,1,3
4/1/20,805,7094,1,1
4/1/20,9,14731,0,2
4/1/20,1,12084,1,2
4/1/20,71,10981,0,1
4/1/20,805,85022,0,1
4/1/20,103,11752,1,2
4/1/20,9,14706,0,3
4/1/20,77,13439,0,1
4/1/20,109,14883,0,2
4/1/20,117,14555,0,1
4/1/20,105,12777,0,1
4/1/20,45,13673,0,1
4/1/20,37,14422,0,1
4/1/20,45,13691,0,1
4/1/20,1,12250,0,1
4/1/20,65,13308,0,1
4/1/20,805,7821,0,1
4/1/20,805,7871,0,1
4/1/20,109,14886,0,3
4/1/20,55,14609,2,13
4/1/20,87,U,6,10
4/1/20,61,10035,21,37
4/1/20,47,11237,19,32
4/1/20,59,11581,24,41
4/1/20,29,14226,6,18
4/1/20,29,14224,5,19
4/1/20,61,10019,5,23
4/1/20,103,11741,10,19
4/1/20,53,13032,2,9
4/1/20,61,10009,16,27
4/1/20,55,14605,0,6
4/1/20,27,12582,3,7
4/1/20,77,12116,0,1
4/1/20,805,7422,0,1
4/1/20,805,7086,2,3
4/1/20,81,11363,3,3
4/1/20,71,10987,1,7
4/1/20,29,14219,0,3
4/1/20,71,12520,5,5
4/1/20,45,13603,0,6
4/1/20,805,2631,0,1
4/1/20,103,11715,4,7
4/1/20,89,13679,0,1
4/1/20,103,11766,4,10
4/1/20,805,8830,1,3
4/1/20,805,6854,0,1
4/1/20,23,13040,0,2
4/1/20,71,12566,1,5
4/1/20,123,14527,0,4
4/1/20,81,11568,1,1
4/1/20,21,12526,1,4
4/1/20,25,13775,1,2
4/1/20,805,7430,0,1
4/1/20,17,13464,0,1
4/1/20,83,12061,0,1
4/1/20,89,13687,0,1
4/1/20,805,40013,0,1
4/1/20,3,14804,0,1
4/1/20,91,12871,0,1
4/1/20,103,11941,0,2
4/1/20,81,11042,1,1
4/1/20,107,14892,0,1
4/1/20,119,10505,0,1
4/1/20,47,11213,31,48
4/1/20,47,11216,14,30
4/1/20,5,10456,63,89
4/1/20,47,11212,43,62
4/1/20,61,10022,6,23
4/1/20,71,10924,11,28
4/1/20,59,11560,0,2
4/1/20,117,14589,1,3
4/1/20,81,11366,19,32
4/1/20,87,10956,42,99
4/1/20,37,14036,0,7
4/1/20,29,14030,0,1
4/1/20,91,12188,0,1
4/1/20,81,11360,8,14
4/1/20,103,11946,6,12
4/1/20,119,10602,1,1
4/1/20,45,13637,0,5
4/1/20,805,7203,1,1
4/1/20,111,12487,0,2
4/1/20,805,60459,1,1
4/1/20,55,14420,1,7
4/1/20,805,60482,0,1
4/1/20,27,12540,1,8
